Arrival Rates,Scenario,Video Delay,Voice Delay,Best-Effort Delay
"[0.3, 0.25, 0.4]",1,0.0,0.0,0.0
"[0.5, 0.25, 0.4]",1,0.0,0.0,0.0
"[0.3, 0.4, 0.4]",1,0.0,0.0,0.0
"[0.3, 0.25, 0.4]",2,39.737,67.35519677093845,1.7530120481927711
"[0.5, 0.25, 0.4]",2,70.35707019328586,280.0593220338983,1.5360721442885772
"[0.3, 0.4, 0.4]",2,2.981,0.0,1.1485943775100402
